Restaurant ID,Name,Country Code,City,Address,Locality,Locality Verbose,Latitude,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Price range,Aggregate_rating,Longitude
6317637,Le Petit Souffle,162,Makati City,"Third Floor, Century City Mall, Kalayaan Avenue, Poblacion, Makati City","Century City Mall, Poblacion, Makati City","Century City Mall, Poblacion, Makati City, Makati City",14.565443,"French, Japanese, Desserts",1100,Botswana Pula(P),Yes,No,No,3,4.8,121.027535
6304287,Izakaya Kikufuji,162,Makati City,"Little Tokyo, 2277 Chino Roces Avenue, Legaspi Village, Makati City","Little Tokyo, Legaspi Village, Makati City","Little Tokyo, Legaspi Village, Makati City, Makati City",14.553708,Japanese,1200,Botswana Pula(P),Yes,No,No,3,4.5,121.014101
6300002,Heat - Edsa Shangri-La,162,Mandaluyong City,"Edsa Shangri-La, 1 Garden Way, Ortigas, Mandaluyong City","Edsa Shangri-La, Ortigas, Mandaluyong City","Edsa Shangri-La, Ortigas, Mandaluyong City, Mandaluyong City",14.581404,"Seafood, Asian, Filipino, Indian",4000,Botswana Pula(P),Yes,No,No,4,4.4,121.056831
6318506,Ooma,162,Mandaluyong City,"Third Floor, Mega Fashion Hall, SM Megamall, Ortigas, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City, Mandaluyong City",14.585318,"Japanese, Sushi",1500,Botswana Pula(P),No,No,No,4,4.9,121.056475
6314302,Sambo Kojin,162,Mandaluyong City,"Third Floor, Mega Atrium, SM Megamall, Ortigas, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City, Mandaluyong City",14.58445,"Japanese, Korean",1500,Botswana Pula(P),Yes,No,No,4,4.8,121.057508
18189371,Din Tai Fung,162,Mandaluyong City,"Ground Floor, Mega Fashion Hall, SM Megamall, Ortigas, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City, Mandaluyong City",14.583764,Chinese,1000,Botswana Pula(P),No,No,No,3,4.4,121.056314
6300781,Buffet 101,162,Pasay City,"Building K, SM By The Bay, Sunset Boulevard, Mall of Asia Complex (MOA), Pasay City","SM by the Bay, Mall of Asia Complex, Pasay City","SM by the Bay, Mall of Asia Complex, Pasay City, Pasay City",14.53133333,"Asian, European",2000,Botswana Pula(P),Yes,No,No,4,4,120.9796667
6301290,Vikings,162,Pasay City,"Building B, By The Bay, Seaside Boulevard, Mall of Asia Complex (MOA), Pasay City","SM by the Bay, Mall of Asia Complex, Pasay City","SM by the Bay, Mall of Asia Complex, Pasay City, Pasay City",14.54,"Seafood, Filipino, Asian, European",2000,Botswana Pula(P),Yes,No,No,4,4.2,120.9793333
6300010,Spiral - Sofitel Philippine Plaza Manila,162,Pasay City,"Plaza Level, Sofitel Philippine Plaza Manila, CCP Complex, Pasay City","Sofitel Philippine Plaza Manila, Pasay City","Sofitel Philippine Plaza Manila, Pasay City, Pasay City",14.55299,"European, Asian, Indian",6000,Botswana Pula(P),Yes,No,No,4,4.9,120.98009
6314987,Locavore,162,Pasig City,"Brixton Technology Center, 10 Brixton Street, Kapitolyo, Pasig City",Kapitolyo,"Kapitolyo, Pasig City",14.572041,Filipino,1100,Botswana Pula(P),Yes,No,No,3,4.8,121.056532
6309903,Silantro Fil-Mex,162,Pasig City,"75 East Capitol Drive, Kapitolyo, Pasig City",Kapitolyo,"Kapitolyo, Pasig City",14.567689,"Filipino, Mexican",800,Botswana Pula(P),No,No,No,3,4.9,121.057916
6309455,Mad Mark's Creamery & Good Eats,162,Pasig City,"23 East Capitol Drive, Kapitolyo, Pasig City",Kapitolyo,"Kapitolyo, Pasig City",14.570849,"American, Ice Cream, Desserts",900,Botswana Pula(P),Yes,No,No,3,4.2,121.06082
6318433,Silantro Fil-Mex,162,Quezon City,"Second Floor, UP Town Center, Katipunan Avenue, Diliman, Quezon City","UP Town Center, Diliman, Quezon City","UP Town Center, Diliman, Quezon City, Quezon City",14.649503,"Filipino, Mexican",800,Botswana Pula(P),No,No,No,3,4.8,121.075419
6310470,Guevarra's,162,San Juan City,"387 P. Guevarra Corner Argonne Street, Addition Hills, San Juan City",Addition Hills,"Addition Hills, San Juan City",14.59345,Filipino,1000,Botswana Pula(P),Yes,No,No,3,4.2,121.0335917
6314605,Sodam Korean Restaurant,162,San Juan City,"17 J. Abad Santos Drive, Little Baguio, San Juan City",Little Baguio,"Little Baguio, San Juan City",14.59889,Korean,700,Botswana Pula(P),No,No,No,3,4.3,121.03811
18185059,Cafe Arabelle,162,Santa Rosa,"Ayala Mall, Solenad, Nuvali, Santa Rosa - Tagaytay Road, Don Jose, Santa Rosa","Nuvali, Don Jose, Santa Rosa","Nuvali, Don Jose, Santa Rosa, Santa Rosa",14.237082,"Cafe, American, Italian, Filipino",800,Botswana Pula(P),No,No,No,3,3.6,121.05704
18182702,Nonna's Pasta & Pizzeria,162,Santa Rosa,"Ground Floor, Building G, Solenad 3, Nuvali, Don Jose, Santa Rosa","Solenad 3, Don Jose, Santa Rosa","Solenad 3, Don Jose, Santa Rosa, Santa Rosa",14.23767897,"Italian, Pizza",850,Botswana Pula(P),No,No,No,3,4,121.0565874
6318213,Balay Dako,162,Tagaytay City,"Aguinaldo Highway, Tagaytay City",Tagaytay City,"Tagaytay City, Tagaytay City",14.101834,Filipino,1200,Botswana Pula(P),Yes,No,No,3,4.5,120.951589
18255654,Hobing Korean Dessert Cafe,162,Taguig City,"Third Floor, BGC Stopover Pavillion, Rizal Drive Corner 31st Street, Bonifacio Global City, Taguig City","BGC Stopover Pavillion, Bonifacio Global City","BGC Stopover Pavillion, Bonifacio Global City, Taguig City",14.55436,"Cafe, Korean, Desserts",600,Botswana Pula(P),No,No,No,2,4.5,121.045878
6308205,Wildflour Cafe + Bakery,162,Taguig City,"Ground Floor, Netlima Building, 4th Avenue Corner 26th Street, Bonifacio Global City, Taguig City",Bonifacio Global City,"Bonifacio Global City, Taguig City",14.549337,"Cafe, Bakery, American, Italian",1500,Botswana Pula(P),Yes,No,No,4,4.4,121.04622
6315438,NIU by Vikings,162,Taguig City,"Sixth Floor, SM Aura Premier, C5 Road Corner 26th Street, Bonifacio Global City, Taguig City","SM Aura Premier, Bonifacio Global City, Taguig City","SM Aura Premier, Bonifacio Global City, Taguig City, Taguig City",14.545858,"Seafood, American, Mediterranean, Japanese",3000,Botswana Pula(P),Yes,No,No,4,4.7,121.053725
6310406,The Food Hall by Todd English,162,Taguig City,"Fifth Floor, SM Aura Premier, C5 Corner 26th Street, Bonifacio Global City, Taguig City","SM Aura Premier, Bonifacio Global City, Taguig City","SM Aura Premier, Bonifacio Global City, Taguig City, Taguig City",14.54565535,"American, Asian, Italian, Seafood",1800,Botswana Pula(P),Yes,No,No,4,4.5,121.0534998
6600681,Chez Michou,30,Bras?lia,"SCLN, 208, Bloco A, Loja 30, Asa Norte, Bras?lia",Asa Norte,"Asa Norte, Bras?lia",-15.76414167,"Fast Food, French",55,Brazilian Real(R$),No,No,No,2,3,-47.88178889
6601005,Caf? Daniel Briand,30,Bras?lia,"SCLN 104, Bloco A, Loja 26, Asa Norte, Bras?lia",Asa Norte,"Asa Norte, Bras?lia",-15.7775,Cafe,30,Brazilian Real(R$),No,No,No,1,3.8,-47.88266667
6600292,Casa do Biscoito Mineiro,30,Bras?lia,"SCLN 210, Bloco D, Loja 36/48, Asa Norte, Bras?lia",Asa Norte,"Asa Norte, Bras?lia",-15.75747222,Bakery,45,Brazilian Real(R$),No,No,No,2,3.7,-47.88213611
6600441,Maori,30,Bras?lia,"CLN 110, Bloco D, Loja 28, Asa Norte, Bras?lia",Asa Norte,"Asa Norte, Bras?lia",-15.75883333,Brazilian,60,Brazilian Real(R$),No,No,No,3,3.8,-47.88816667
6600970,Pizza ? Bessa,30,Bras?lia,"SCS 214, Bloco C, Loja 40, Asa Sul, Bras?lia",Asa Sul,"Asa Sul, Bras?lia",-15.83116667,Pizza,50,Brazilian Real(R$),No,No,No,2,3.2,-47.91566667
6600379,Sushi Loko,30,Bras?lia,"SCS 213, Bloco C, Loja 35, Asa Sul, Bras?lia",Asa Sul,"Asa Sul, Bras?lia",-15.831,Japanese,80,Brazilian Real(R$),No,No,No,3,3.1,-47.91566667
6600214,Beirute,30,Bras?lia,"CLS 109, Bloco A, Loja 2/6, Asa Sul, Bras?lia",Asa Sul,"Asa Sul, Bras?lia",-15.82,Arabian,90,Brazilian Real(R$),No,No,No,3,3.7,-47.9075
6601218,New Koto,30,Bras?lia,"SCS 212, Bloco B, Loja 26, Asa Sul, Bras?lia",Asa Sul,"Asa Sul, Bras?lia",-15.82733333,Japanese,200,Brazilian Real(R$),No,No,No,4,3.7,-47.91016667
6600060,Sandubas Caf?,30,Bras?lia,"Edif?cio Jos? Severo, SCS 6, Bloco A, Loja 99, Asa Sul, Bras?lia",Asa Sul,"Asa Sul, Bras?lia",-15.797,"Brazilian, Cafe",30,Brazilian Real(R$),No,No,No,1,0,-47.89016667
6600083,Villa Tevere,30,Bras?lia,"CLS 115, Bloco A, Loja 2, Asa Sul, Bras?lia",Asa Sul,"Asa Sul, Bras?lia",-15.83133333,Italian,150,Brazilian Real(R$),No,No,No,4,4.1,-47.92366667
6601515,Rovereto,30,Bras?lia,"Rua 13 Norte, Lote 4, ?guas Claras, Bras?lia",?guas Claras,"?guas Claras, Bras?lia",-15.83716667,Pizza,100,Brazilian Real(R$),No,No,No,4,3.1,-48.019
6601361,Buena Carne,30,Bras?lia,"Avenida Arauc?rias, 1325, Loja 19, ?guas Claras, Bras?lia",?guas Claras,"?guas Claras, Bras?lia",-15.839775,"Bar Food, Brazilian",60,Brazilian Real(R$),No,No,No,3,3.6,-48.01909167
6601602,Taco Pep,30,Bras?lia,"Vila Malls, Avenida das Castanheiras, Lote 1060, ?guas Claras, Bras?lia",?guas Claras,"?guas Claras, Bras?lia",-15.83483333,"Mexican, Grill",100,Brazilian Real(R$),No,No,No,4,4.3,-48.01666667
6601589,Coco Bambu,30,Bras?lia,"Bras?lia Shopping - Piso 2, SCN 5, Bloco A, Asa Norte, Bras?lia","Bras?lia Shopping, Asa Norte","Bras?lia Shopping, Asa Norte, Bras?lia",-15.7865,International,230,Brazilian Real(R$),No,No,No,4,4.2,-47.889
6601862,Tayp?,30,Bras?lia,"Fashion Park, Shis Ql 17, Bloco G, Loja 208, Lago Sul, Bras?lia",Lago Sul,"Lago Sul, Bras?lia",-15.860621,"Peruvian, Latin American",100,Brazilian Real(R$),No,No,No,4,3.6,-47.872359
6601595,Outback Steakhouse,30,Bras?lia,"ParkShopping - Piso 2, SAI/SO, ?rea 6580, Guar? I, Bras?lia","ParkShopping, Guar? I","ParkShopping, Guar? I, Bras?lia",-15.83451389,"American, Grill",150,Brazilian Real(R$),No,No,No,4,4,-47.95628333
6601158,Manzu?,30,Bras?lia,"Pont?o Lago Sul, SHIS 10, Lote 9, Lago Sul, Bras?lia","Pont?o Lago Sul, Lago Sul","Pont?o Lago Sul, Lago Sul, Bras?lia",-15.82566667,Seafood,240,Brazilian Real(R$),No,No,No,4,3.2,-47.87283333
6600427,Coco Bambu,30,Bras?lia,"SCES, Trecho 2, Conjunto 13/36, Setor de Clubes Esportivos Sul, Bras?lia",Setor De Clubes Esportivos Sul,"Setor De Clubes Esportivos Sul, Bras?lia",-15.819,International,230,Brazilian Real(R$),No,No,No,4,4.9,-47.8685
6600116,Gero,30,Bras?lia,"Shopping Iguatemi - piso 1, SHIN CA 4, Lote A, Lago Norte, Bras?lia","Shopping Iguatemi, Lago Norte","Shopping Iguatemi, Lago Norte, Bras?lia",-15.720118,Italian,350,Brazilian Real(R$),No,No,No,4,3.3,-47.885812
6601457,Brazilian American Burgers,30,Bras?lia,"CLSN 301, Bloco C, Loja 86, Sudoeste, Bras?lia",Sudoeste,"Sudoeste, Bras?lia",-15.79753056,"American, Burger",50,Brazilian Real(R$),No,No,No,2,3.6,-47.92102778
7303219,Pesqueiro Eco Gourmet,30,Rio de Janeiro,"Praia da Barra da Tijuca, Avenida L?cio Costa, Ilha 25, Barra da Tijuca, Rio de Janeiro",Barra da Tijuca,"Barra da Tijuca, Rio de Janeiro",-23.0115,"Seafood, Bar Food, Brazilian",140,Brazilian Real(R$),No,No,No,4,4,-43.377
7304307,Confeitaria Colombo,30,Rio de Janeiro,"Rua Gon?alves Dias, 32, Centro, Rio de Janeiro",Centro,"Centro, Rio de Janeiro",-22.905293,"Desserts, Cafe",100,Brazilian Real(R$),No,No,No,4,4.8,-43.178826
7301215,Bibi,30,Rio de Janeiro,"Rua Santa Clara, 36, Copabana, Rio de Janeiro",Copacabana,"Copacabana, Rio de Janeiro",-22.97207222,"Juices, Healthy Food",60,Brazilian Real(R$),No,No,No,3,4.7,-43.18669167
7300596,Cervantes,30,Rio de Janeiro,"Avenida Prado Junior, 335 B, Copacabana, Rio de Janeiro",Copacabana,"Copacabana, Rio de Janeiro",-22.96216667,"Beverages, Bar Food, Fast Food",90,Brazilian Real(R$),No,No,No,3,4.5,-43.17583333
7300612,Amir,30,Rio de Janeiro,"Rua Ronald de Carvalho, 55, Copacabana, Rio de Janeiro",Copacabana,"Copacabana, Rio de Janeiro",-22.96516667,Lebanese,170,Brazilian Real(R$),No,No,No,4,4.2,-43.176
7300704,TT Burger,30,Rio de Janeiro,"Galeria River, Rua Francisco Otaviano, 67, Copacabana, Rio de Janeiro","Galeria River, Copacabana","Galeria River, Copacabana, Rio de Janeiro",-22.98683333,Burger,60,Brazilian Real(R$),No,No,No,3,4.8,-43.191
7300955,Braseiro da G?vea,30,Rio de Janeiro,"Pra?a Santos Dumont, 116, G?vea, Rio de Janeiro",G?vea,"G?vea, Rio de Janeiro",-22.973507,"Brazilian, Bar Food",100,Brazilian Real(R$),No,No,No,4,4.9,-43.227042
7300521,Balada Mix,30,Rio de Janeiro,"Rua An?bal de Mendon?a, 37, Ipanema, Rio de Janeiro",Ipanema,"Ipanema, Rio de Janeiro",-22.98520833,"Brazilian, Healthy Food, Juices, Pizza",90,Brazilian Real(R$),No,No,No,3,4.6,-43.211425
7300515,Garota de Ipanema,30,Rio de Janeiro,"Rua Vinicius de Moraes, 49, Ipanema, Rio de Janeiro",Ipanema,"Ipanema, Rio de Janeiro",-22.98533333,"Brazilian, Bar Food",120,Brazilian Real(R$),No,No,No,4,4.9,-43.203
7300483,Zaz? Bistr? Tropical,30,Rio de Janeiro,"Rua Joana Ang?lica, 40, Ipanema, Rio de Janeiro",Ipanema,"Ipanema, Rio de Janeiro",-22.98531944,Brazilian,170,Brazilian Real(R$),No,No,No,4,4.6,-43.20520833
7301064,Fil? de Ouro,30,Rio de Janeiro,"Rua Jardim Bot?nico, 731, Jardim Bot?nico, Lagoa, Rio de Janeiro",Lagoa,"Lagoa, Rio de Janeiro",-22.966647,Brazilian,90,Brazilian Real(R$),No,No,No,3,4.3,-43.219563
7304312,D.O.C Ristorante,30,Rio de Janeiro,"Le Monde, Bloco 3, Lojas A/B, Avenida das Am?ricas, 3500, Barra da Tijuca, Rio de Janeiro","Le Monde, Barra da Tijuca","Le Monde, Barra da Tijuca, Rio de Janeiro",-22.99991111,Italian,150,Brazilian Real(R$),No,No,No,4,4,-43.34879167
7300004,Sushi Leblon,30,Rio de Janeiro,"Rua Dias Ferreira, 256, Leblon, Rio de Janeiro",Leblon,"Leblon, Rio de Janeiro",-22.98416667,Japanese,250,Brazilian Real(R$),No,No,No,4,4.6,-43.227
7300868,Talho Capixaba,30,Rio de Janeiro,"Avenida Ataulfo de Paiva, 1022, Lojas A e B, Leblon, Rio de Janeiro",Leblon,"Leblon, Rio de Janeiro",-22.98516667,"Bakery, Sandwich, Brazilian",120,Brazilian Real(R$),No,No,No,4,4.4,-43.22566667
7302637,Leme Light,30,Rio de Janeiro,"Rua Gustavo Sampaio, 798, Leme, Rio de Janeiro",Leme,"Leme, Rio de Janeiro",-22.963925,Brazilian,40,Brazilian Real(R$),No,No,No,2,4.2,-43.17279167
7302140,Shirley,30,Rio de Janeiro,"Rua Gustavo Sampaio, 610, Leme, Rio de Janeiro",Leme,"Leme, Rio de Janeiro",-22.96337222,"Brazilian, Seafood",250,Brazilian Real(R$),No,No,No,4,4.2,-43.17126389
7305048,Quiosque Chopp Brahma,30,Rio de Janeiro,"Madureira Shopping - Loja 289/290, Piso 2, Estrada do Portela, 222, Madureira, Rio de Janeiro, RJ",Madureira,"Madureira, Rio de Janeiro",-22.870413,"Bar Food, Brazilian",70,Brazilian Real(R$),No,No,No,3,0,-43.341164
7302898,Apraz?vel,30,Rio de Janeiro,"Rua Apraz?vel, 62, Santa Teresa, Rio de Janeiro",Santa Teresa,"Santa Teresa, Rio de Janeiro",-22.92481389,Brazilian,300,Brazilian Real(R$),No,No,No,4,4.7,-43.18736944
7302859,Aconchego Carioca,30,Rio de Janeiro,"Rua Bar?o de Iguatemi, 379, Tijuca, Rio de Janeiro",Tijuca,"Tijuca, Rio de Janeiro",-22.91370833,"Brazilian, Bar Food",85,Brazilian Real(R$),No,No,No,3,4.6,-43.21551111
7301700,Garota de Ipanema,30,Rio de Janeiro,"Avenida Jo?o Alves, 56, Urca, Rio de Janeiro",Urca,"Urca, Rio de Janeiro",-22.94783333,"Brazilian, Bar Food",80,Brazilian Real(R$),No,No,No,3,4.3,-43.16266667
6706313,Cantina Famiglia Mancini,30,S?o Paulo,"Rua Avanhandava, 81, Bela Vista, S?o Paulo 10000","Bela Vista, Centro","Bela Vista, Centro, S?o Paulo",-23.55066667,"Italian, Pizza",250,Brazilian Real(R$),No,No,No,4,4.5,-46.64516667
6704326,Templo da Carne - Marcos Bassi,30,S?o Paulo,"Rua Treze de Maio, 668, Bela Vista, S?o Paulo 01327000","Bela Vista, Centro","Bela Vista, Centro, S?o Paulo",-23.559,"Steak, BBQ",250,Brazilian Real(R$),No,No,No,4,4.4,-46.64633333
6711179,Gopala Hari,30,S?o Paulo,"Rua Antonio Carlos, 429, Consola??o, S?o Paulo",Consola??o,"Consola??o, S?o Paulo",-23.55616667,Indian,70,Brazilian Real(R$),No,No,No,3,3.1,-46.65866667
6702797,Jiquitaia,30,S?o Paulo,"Rua Ant?nio Carlos, 268, Consola??o, S?o Paulo",Consola??o,"Consola??o, S?o Paulo",-23.55671,Brazilian,100,Brazilian Real(R$),No,No,No,4,4.1,-46.657523
6700475,Skye - Hotel Unique,30,S?o Paulo,"Hotel Unique, Avenida Brigadeiro Lu?s Ant?nio, 4700, Jardim Paulista, S?o Paulo","Hotel Unique, Jardim Paulista","Hotel Unique, Jardim Paulista, S?o Paulo",-23.581688,"Beverages, International",300,Brazilian Real(R$),No,No,No,4,4.8,-46.666851
6713413,Les 3 Brasseurs,30,S?o Paulo,"Rua Jesu?no Arruda, 470, Itaim Bibi, S?o Paulo",Itaim Bibi,"Itaim Bibi, S?o Paulo",-23.582135,"French, Brazilian, Beverages",120,Brazilian Real(R$),No,No,No,4,4.6,-46.67511
6714340,Red Steak & Burger,30,S?o Paulo,"Rua Tabapu?, 1417, Itaim Bibi, S?o Paulo",Itaim Bibi,"Itaim Bibi, S?o Paulo",-23.585324,"Brazilian, Grill",75,Brazilian Real(R$),No,No,No,3,3.9,-46.683888
6710645,Cantinho da Gula,30,S?o Paulo,"Rua Pedroso Alvarenga, 522, Itaim Bibi, S?o Paulo, SP",Itaim Bibi,"Itaim Bibi, S?o Paulo",-23.581,Brazilian,55,Brazilian Real(R$),No,No,No,2,0,-46.67566667
6700402,Paris 6 Classique,30,S?o Paulo,"Rua Haddock Lobo, 1240, Cerqueira C?sar, Jardim Paulista, S?o Paulo",Jardim Paulista,"Jardim Paulista, S?o Paulo",-23.561568,French,200,Brazilian Real(R$),No,No,No,4,3.4,-46.666041
6700846,Kawa Sushi,30,S?o Paulo,"Alameda Lorena, 300, Jardim Paulista, S?o Paulo",Jardim Paulista,"Jardim Paulista, S?o Paulo",-23.571638,"Sushi, Japanese",120,Brazilian Real(R$),No,No,No,4,3.5,-46.657418
6702159,A Figueira Rubaiyat,30,S?o Paulo,"Rua Haddock Lobo, 1738, Cerqueira C?sar, Jardim Paulista, S?o Paulo 10000",Jardim Paulista,"Jardim Paulista, S?o Paulo",-23.5655,"BBQ, Grill, Brazilian",300,Brazilian Real(R$),No,No,No,4,4.3,-46.66983333
6711666,Kinoshita,30,S?o Paulo,"Rua Jacques F?lix, 405, Vila Nova Concei??o, Moema, S?o Paulo",Moema,"Moema, S?o Paulo",-23.59233333,Sushi,230,Brazilian Real(R$),No,No,No,4,3.9,-46.67133333
6701257,Meats,30,S?o Paulo,"Rua dos Pinheiros, 320, Pinheiros, S?o Paulo",Pinheiros,"Pinheiros, S?o Paulo",-23.56483333,"Gourmet Fast Food, Burger",120,Brazilian Real(R$),No,No,No,4,4.3,-46.68133333
6706211,Paribar,30,S?o Paulo,"Pra?a Dom Jos? Gaspar, 42, Rep?blica, S?o Paulo 10000",Rep?blica,"Rep?blica, S?o Paulo",-23.54664167,"Brazilian, Italian",150,Brazilian Real(R$),No,No,No,4,4.3,-46.64159444
6705858,Terra?o It?lia,30,S?o Paulo,"Edif?cio It?lia - 41? Andar, Avenida Ipiranga, 344, Rep?blica, S?o Paulo",Rep?blica,"Rep?blica, S?o Paulo",-23.545163,Italian,400,Brazilian Real(R$),No,No,No,4,4.4,-46.643425
6701419,Divino Fog?o,30,S?o Paulo,"Shopping Metr? Santa Cruz - Piso L2, Rua Domingos de Morais, 2564, Vila Mariana, S?o Paulo","Shopping Metr? Santa Cruz, Vila Mariana","Shopping Metr? Santa Cruz, Vila Mariana, S?o Paulo",-23.5995,"Brazilian, Mineira",65,Brazilian Real(R$),No,No,No,3,0,-46.63716667
6703956,Super Grill,30,S?o Paulo,"Shopping Morumbi - Piso Lazer, Avenida Roque Petroni J?nior, 1089, Santo Amaro, S?o Paulo","Shopping Morumbi, Santo Amaro","Shopping Morumbi, Santo Amaro, S?o Paulo",-23.622925,Brazilian,50,Brazilian Real(R$),No,No,No,2,0,-46.698574
6709580,Esquina Mocot?,30,S?o Paulo,"Avenida Nossa Senhora do Loreto, 1104, Vila Medeiros, Vila Maria, S?o Paulo",Vila Maria,"Vila Maria, S?o Paulo",-23.486535,"Brazilian, North Eastern",100,Brazilian Real(R$),No,No,No,4,4.4,-46.581672
6703176,Veloso,30,S?o Paulo,"Rua Concei??o Veloso, 56, Vila Mariana, S?o Paulo",Vila Mariana,"Vila Mariana, S?o Paulo",-23.58516667,"Brazilian, Bar Food, Beverages",70,Brazilian Real(R$),No,No,No,3,4.6,-46.63566667
6713772,Sainte Marie Gastronomia,30,S?o Paulo,"Rua Dom Jo?o Batista da Costa, 70, Vila S?nia, S?o Paulo",Vila S?nia,"Vila S?nia, S?o Paulo",-23.609207,"Lebanese, Arabian",120,Brazilian Real(R$),No,No,No,4,4.1,-46.746958
17284404,Austin's BBQ and Oyster Bar,216,Albany,"2820 Meredyth Dr, Albany, GA 31707",Albany,"Albany, Albany",31.610387,"BBQ, Burger, Seafood",25,Dollar($),No,No,No,2,3.3,-84.221535
17284203,BJ's Country Buffet,216,Albany,"2401 Dawson Rd, Albany, GA 31707",Albany,"Albany, Albany",31.608743,"American, BBQ",10,Dollar($),No,No,No,1,3.3,-84.207095
17284105,Cookie Shoppe,216,Albany,"115 N Jackson St, Albany, GA 31701",Albany,"Albany, Albany",31.5772,Italian,0,Dollar($),No,No,No,1,3.4,-84.154
17284302,El Vaquero Mexican Restaurant,216,Albany,"2700 Dawson Rd, Albany, GA 31707",Albany,"Albany, Albany",31.6158,Mexican,0,Dollar($),No,No,No,1,3.4,-84.2194
17284397,Elements Coffee Co - Northwest,216,Albany,"2726 Ledo Rd Ste 10, Albany, GA 31707",Albany,"Albany, Albany",31.622412,"Coffee and Tea, Sandwich",10,Dollar($),No,No,No,1,3.4,-84.206944
17284211,Pearly's Famous Country Cookng,216,Albany,"814 N Slappey Blvd, Albany, GA 31701",Albany,"Albany, Albany",31.5882,"Mediterranean, Tapas, Vegetarian",0,Dollar($),No,No,No,1,3.4,-84.1759
17284094,Chick-fil-A,216,Albany,"2703 Dawson Rd, Albany, GA 31707",Albany,"Albany, Albany",31.616,Fast Food,10,Dollar($),No,No,No,1,3.5,-84.2193
